bins,labels,unique,human,quality
-1.0,negative,0,0,0
-0.9523809523809523,        ,1,2,1
-0.9047619047619047,        ,0,0,0
-0.857142857142857,        ,0,0,0
-0.8095238095238093,        ,1,1,1
-0.7619047619047616,        ,0,0,0
-0.714285714285714,        ,1,1,1
-0.6666666666666663,        ,0,0,0
-0.6190476190476186,        ,0,0,1
-0.571428571428571,        ,0,1,0
-0.5238095238095233,        ,0,0,1
-0.4761904761904756,        ,1,2,2
-0.42857142857142794,        ,0,1,1
-0.38095238095238027,        ,1,2,3
-0.3333333333333326,        ,0,4,3
-0.2857142857142849,        ,1,1,3
-0.23809523809523725,        ,2,6,7
-0.19047619047618958,        ,6,12,11
-0.1428571428571419,        ,13,31,24
-0.09523809523809423,        ,28,39,33
-0.04761904761904656,neutral,238,212,147
1.1102230246251565e-15,        ,224,189,143
0.04761904761904878,        ,500,325,179
0.09523809523809645,        ,547,405,272
0.14285714285714413,        ,456,436,377
0.1904761904761918,        ,209,345,397
0.23809523809523947,        ,99,190,356
0.28571428571428714,        ,50,110,218
0.3333333333333348,        ,39,60,116
0.3809523809523825,        ,13,31,78
0.42857142857143016,        ,13,28,35
0.47619047619047783,        ,6,5,18
0.5238095238095255,        ,2,6,10
0.5714285714285732,        ,1,4,5
0.6190476190476208,        ,2,0,2
0.6666666666666685,        ,1,2,3
0.7142857142857162,        ,0,1,1
0.7619047619047639,        ,0,1,1
0.8095238095238115,        ,0,1,1
0.8571428571428592,        ,1,1,3
0.9047619047619069,positive,0,0,0
